PU_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Gravesend,889,43104.15,11068.18,45.18333333333333,100.23666666666655,15.333318730172639,1.0269966254218224,2.4356164383561643
Great Kills,21,1470.88,259.77,42.833333333333336,86.35,18.091974693041198,1.0476190476190477,0.057534246575342465
Great Kills Park,1,93.31,19.56,62.38333333333333,62.38333333333333,18.812698977901064,1.0,0.0027397260273972603
Green-Wood Cemetery,17,954.9,104.57,24.4,92.00999999999999,10.680611496421731,1.5294117647058822,0.04657534246575343
Greenpoint,6638,191687.66,32284.82,18.558333333333334,44.13333333333333,13.469103071412768,1.1974992467610726,18.186301369863013
Greenwich Village North,440804,10193748.51,960654.65,11.666666666666666,32.983333333333334,8.454468595740039,1.3560471320586927,1207.682191780822
Greenwich Village South,407979,9699396.67,996467.98,11.883333333333333,31.45,9.599890286968149,1.4351547506121638,1117.7506849315068
Grymes Hill/Clifton,8,411.36,63.64,14.291666666666668,65.68416666666664,16.92374798191578,1.25,0.021917808219178082
Hamilton Heights,23127,590247.23,92549.91,14.083333333333334,39.166666666666664,11.776309741790744,1.2673498508237127,63.36164383561644
Hammels/Arverne,1517,81729.26,19777.15,55.4,104.15333333333335,13.775025785800507,1.009228740936058,4.156164383561644
Heartland Village/Todt Hill,41,2603.34,538.32,32.3,82.43333333333334,17.66504233238093,1.2682926829268293,0.11232876712328767
Highbridge,1577,51972.43,9239.33,23.933333333333334,64.88333333333328,10.536523688641823,1.1521876981610653,4.32054794520548
Highbridge Park,142,8256.36,1179.65,17.825000000000003,54.13166666666667,17.69464535851553,1.2535211267605635,0.38904109589041097
Hillcrest/Pomonok,1574,49195.43,9716.25,26.791666666666668,67.43916666666667,11.116125895897778,1.0235069885641677,4.3123287671232875
Hollis,711,24761.67,5114.69,29.633333333333333,73.01666666666668,11.115754371301987,1.0196905766526019,1.9479452054794522
Homecrest,827,30347.93,6222.5,36.75,89.95166666666667,9.904724172479344,1.0278113663845223,2.265753424657534
Howard Beach,1060,53817.63,9638.84,27.958333333333336,75.41499999999998,15.430140863460895,1.1867924528301887,2.904109589041096
Hudson Sq,158345,3988728.9,427247.41,11.933333333333334,35.016666666666666,9.749939062880857,1.3895481385582116,433.82191780821915
