DO_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Chinatown,83926,2343651.94,288712.99,15.383333333333333,38.666666666666664,9.290295608819202,1.462276291018278,229.93424657534246
City Island,574,46490.66,9595.26,40.28333333333333,73.43250000000002,25.14566589597797,1.2560975609756098,1.5726027397260274
Claremont/Bathgate,2771,127396.02,24466.57,28.7,69.54166666666666,15.053332569397465,1.2457596535546733,7.5917808219178085
Clinton East,747512,18612595.32,1895878.17,12.633333333333333,39.68333333333333,8.190424187782934,1.4419634734960776,2047.978082191781
Clinton Hill,38156,1863614.19,304003.21,29.683333333333334,55.95,13.603812637828907,1.3268162281161546,104.53698630136986
Clinton West,346087,8395715.98,778097.61,12.266666666666667,31.6,8.680777184875023,1.4058199238919693,948.1835616438356
Co-Op City,4197,253476.0,55735.83,36.583333333333336,81.93666666666667,20.361473293700374,1.2053847986657136,11.498630136986302
Cobble Hill,18077,864516.83,140361.28,24.816666666666666,56.983333333333334,14.571178779792346,1.3305305083808154,49.52602739726027
College Point,2539,143080.3,28845.67,30.383333333333333,61.80499999999999,22.704703902742477,1.3918865695155573,6.956164383561644
Columbia Street,6081,314022.07,51832.23,26.1,58.4,15.164352402015615,1.3499424436770269,16.660273972602738
Coney Island,4723,324955.56,72316.83,38.93333333333333,78.57666666666664,23.870541012101967,1.2868939233538006,12.93972602739726
Corona,6818,308076.72,58614.53,24.941666666666666,52.333333333333336,20.585548270296194,1.3392490466412437,18.67945205479452
Country Club,574,41448.19,8293.24,31.825,57.51166666666667,27.33813323029869,1.4390243902439024,1.5726027397260274
Crotona Park,199,9508.65,1760.12,29.583333333333332,63.44499999999996,16.121814136686297,1.3467336683417086,0.5452054794520548
Crotona Park East,1849,91506.04,17689.65,29.0,64.26666666666664,17.610776541191598,1.2552731206057328,5.065753424657534
Crown Heights North,41794,2082663.61,357561.43,32.96666666666667,56.70583333333331,14.8323661919537,1.3112647748480644,114.5041095890411
Crown Heights South,12330,634894.77,111330.3,35.99166666666667,58.95166666666664,14.934161074268065,1.3008110300081104,33.78082191780822
Cypress Hills,4686,197388.74,38647.75,20.833333333333332,57.02083333333333,22.154842285954835,1.3640631668800682,12.838356164383562
DUMBO/Vinegar Hill,40577,1567045.54,235370.35,21.483333333333334,49.516666666666666,13.044754211120152,1.423786874337679,111.16986301369863
Douglaston,2618,167123.83,35025.33,26.075,53.8,30.657927964980704,1.4209320091673032,7.1726027397260275
Downtown Brooklyn/MetroTech,41715,1837199.25,305438.09,23.116666666666667,60.96666666666667,14.27687914806416,1.3750449478604818,114.28767123287672
Dyker Heights,3666,253335.93,50859.14,34.81666666666666,62.6,22.636359561158454,1.3797054009819967,10.043835616438356
